Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30220.59452,31650.76054,24487.86356,29342.10086,
Africa Eastern and Southern,AFE,1643.605569,1792.907505,1759.182395,1730.394686,1719.183721,1538.552268,1443.692371,1628.586788,1564.73434,1512.270553,1363.540741,1549.77273,
Afghanistan,AFG,554.5952002,621.9123109,663.1410528,651.9878619,628.1468039,592.4765375,520.252064,530.1498308,502.0567706,500.5226641,516.8665522,368.7546142,
Africa Western and Central,AFW,1675.739572,1856.687669,1953.407033,2149.295219,2243.271464,1876.623483,1645.023767,1585.91193,1731.311792,1749.303317,1683.436391,1757.030626,
Angola,AGO,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1603.993477,1953.533757,
Albania,ALB,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012,
Andorra,AND,48238.4661,51429.19192,44904.58004,44750.43568,45682.24623,38885.37601,39932.16449,40632.48439,42903.44358,41327.50203,37207.49386,42137.32727,
Arab World,ARB,6385.356001,6826.51552,7327.268826,7307.373017,7276.428999,6245.787785,6062.681557,6132.428354,6474.29534,6384.066321,5545.455246,6271.319001,
United Arab Emirates,ARE,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,
Argentina,ARG,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202,
Armenia,ARM,3143.029202,3462.681611,3643.715183,3833.157532,4017.229808,3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471,
American Samoa,ASM,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076,
Antigua and Barbuda,ATG,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.55628,17527.16963,18319.45605,14787.63578,15781.3957,
Australia,AUS,52134.30885,62596.43217,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916,
Austria,AUT,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,
Azerbaijan,AZE,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975,
Burundi,BDI,222.6605892,236.4513537,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762,
Belgium,BEL,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435,
Benin,BEN,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995,
Burkina Faso,BFA,627.2703475,727.6125147,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558,
Bangladesh,BGD,776.8595769,856.3815861,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488,
Bulgaria,BGR,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.717094,9879.334343,10129.81296,12221.49661,
Bahrain,BHR,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23501.91946,26562.96914,
"Bahamas, The",BHS,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,30206.24043,29887.16488,30969.8762,31738.26716,32610.48505,23862.71099,27478.38963,
Bosnia and Herzegovina,BIH,4507.054433,4981.035681,4688.376623,5025.074597,5196.8608,4599.901029,4858.775926,5255.807058,5936.101502,6011.370671,6012.062767,7143.310548,
Belarus,BLR,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6542.797491,7302.257794,
Belize,BLZ,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309,
Bermuda,BMU,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,114090.3283,
Bolivia,BOL,1922.049531,2304.969835,2562.466784,2853.797162,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831,3068.812555,3345.196589,
Brazil,BRA,11249.46454,13200.78508,12327.31744,12258.50317,12071.15821,8783.225984,8680.768792,9896.684783,9121.083403,8845.259118,6794.489159,7507.160971,
Barbados,BRB,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623,
Brunei Darussalam,BRN,34609.94043,46139.58441,46842.96026,43948.85117,41037.07265,30681.67944,26762.94565,28186.80303,31241.45396,30748.73749,27179.41199,31449.07656,
Bhutan,BTN,2194.126452,2491.271677,2470.073677,2409.441856,2589.899754,2695.638773,2879.547121,3240.704766,3210.706269,3303.964211,3009.924171,3266.364905,
Botswana,BWA,6041.754284,7080.812813,6393.008265,6436.60945,6844.020288,5869.732943,6411.527159,6705.351862,6947.800812,6679.167674,5863.203241,6805.221274,
Central African Republic,CAF,459.7769465,515.2095319,525.8675432,352.226872,394.856957,351.8797536,372.1354655,414.7402866,435.9322636,426.4087626,435.4692516,461.1374902,
Canada,CAN,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387,51987.93905,
Central Europe and the Baltics,CEB,12624.84736,13970.06689,13075.72899,13662.24109,14132.76797,12520.33649,12781.93211,14224.85778,16086.31826,16358.47415,16293.80003,18751.02651,
Switzerland,CHE,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85656.32267,91991.60046,
Channel Islands,CHI,,,,,,,,,,,,,
Chile,CHL,12767.78121,14628.57246,15406.49294,15833.2752,14666.34353,13569.9478,13785.68833,15045.52768,15795.70846,14631.94688,13094.45953,16265.09598,
China,CHN,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976,12556.33312,
Cote d'Ivoire,CIV,1654.177832,1701.704734,1649.301739,1903.054321,2124.019559,1941.566336,1980.878142,2076.148,2275.49595,2238.811005,2288.119498,2549.041297,
Cameroon,CMR,1383.813759,1497.926667,1433.724035,1559.139125,1631.714084,1399.675331,1426.065517,1479.862349,1594.05999,1538.687947,1539.130559,1666.932734,
"Congo, Dem. Rep.",COD,324.827711,376.3749811,412.7762682,444.864361,472.266227,482.0645483,456.0279312,451.0890984,546.2125939,575.8827908,524.6666754,577.2092152,
"Congo, Rep.",COG,2962.762254,3415.062563,3753.861207,3719.651217,3622.530293,2347.818499,1970.250249,2088.500117,2512.383979,2288.808138,1838.448139,2290.382891,
Colombia,COL,6394.198705,7392.452361,8101.829092,8264.126896,8164.714495,6228.426299,5938.463856,6450.319585,6782.03792,6438.060183,5307.215228,6104.136709,
Comoros,COM,1384.063271,1526.832506,1483.95138,1595.989896,1608.687864,1322.936695,1357.266263,1414.586566,1531.337972,1510.797358,1519.586823,1577.471027,
Cabo Verde,CPV,3192.3921,3537.139837,3262.647058,3427.177172,3405.933447,2891.884482,2978.19942,3132.621798,3442.742003,3434.562745,2924.101807,3293.233054,
Costa Rica,CRI,8147.243985,9137.455823,9971.650902,10633.26725,10737.67888,11529.95453,11899.81326,12118.13341,12383.14997,12669.34107,12132.87688,12472.44373,
Caribbean small states,CSS,9271.773216,9948.838931,10417.9382,10542.78615,10711.77911,10473.83445,9781.008816,10075.83072,10353.11645,10429.33204,8851.424959,10063.6913,
Cuba,CUB,5275.532601,6106.006792,6467.337914,6814.243844,7117.52691,7683.757891,8055.889907,8543.360968,8831.907222,9139.415856,9499.590202,,
Curacao,CUW,,19446.45657,19886.67837,19762.73962,19552.66055,19260.26985,18881.83062,18788.80728,18956.09797,19024.17715,16109.86175,17717.59648,
Cayman Islands,CYM,76875.96182,75438.33001,75468.85344,75688.08215,76613.40655,77298.62806,78861.11927,81258.03776,85234.84272,89871.91314,83329.45877,86568.76964,
Cyprus,CYP,31105.39844,32486.42969,28993.34961,27799.11914,27245.36523,23487.125,24715.73047,26697.17188,29418.93555,29417.13867,28036.18945,31551.81641,
Czech Republic,CZE,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26821.24523,
Germany,DEU,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535,51203.55447,
Djibouti,DJI,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2917.996281,3150.436729,
Dominica,DMA,7182.400203,7288.497948,7054.875977,7240.679119,7498.917522,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7653.17187,
Denmark,DNK,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667,
Dominican Republic,DOM,5509.566837,5859.379217,6049.471741,6171.29557,6533.66686,6838.936594,7191.076572,7513.491343,7947.158207,8173.338007,7167.919159,8476.752157,
Algeria,DZA,4495.920448,5473.28055,5610.730894,5519.777576,5516.230604,4197.421361,3967.199451,4134.93672,4171.795011,4022.150184,3337.252512,3690.627878,
East Asia & Pacific (excluding high income),EAP,4006.365501,4860.871207,5376.041081,5882.272406,6291.464864,6501.868829,6591.282343,7149.207647,7944.551234,8169.167837,8262.479253,9771.648206,
Early-demographic dividend,EAR,2988.448105,3248.912173,3346.10889,3344.655796,3411.096711,3199.519646,3257.901212,3472.697624,3467.178198,3489.17025,3215.092925,3703.900123,
East Asia & Pacific,EAS,7721.630865,8890.703999,9435.961663,9468.439894,9694.448785,9586.901027,9854.946329,10452.71904,11310.49888,11482.53168,11475.46251,13041.78119,
Europe & Central Asia (excluding high income),ECA,7789.004312,9625.51745,10208.46535,10750.45007,9890.461057,7458.335046,7044.336289,7864.645065,7994.780168,8129.886017,7441.465307,8758.938553,
Europe & Central Asia,ECS,23640.56194,26148.38101,25090.21598,26086.27231,26316.59931,22556.57364,22379.64835,23643.40045,25243.79473,24870.26199,23984.27873,27152.47123,
Ecuador,ECU,4640.246344,5202.656459,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871,
"Egypt, Arab Rep.",EGY,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2315.896627,2407.086543,2869.576588,3398.801432,3698.834981,
Euro area,EMU,37605.03661,40656.44142,37594.92275,39119.97733,39913.12512,34388.81001,35164.06706,37157.11326,40045.56602,39182.54834,38159.72991,42450.15377,
Eritrea,ERI,504.9724602,643.7900423,,,,,,,,,,,
Spain,ESP,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26959.67544,30103.51373,
Estonia,EST,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122,
Ethiopia,ETH,335.4384953,348.0013483,458.5509208,490.791804,557.5341484,630.3126821,705.616305,755.7517677,758.2990596,840.4494515,918.6525941,925.077428,
European Union,EUU,32969.75465,35768.28989,33170.5131,34564.11568,35278.80769,30484.52789,31175.15052,33089.22846,35751.21997,35079.46915,34330.36653,38411.06278,
Fragile and conflict affected situations,FCS,2298.21375,2109.703427,2307.068559,2337.388722,2423.732741,1891.182273,1744.358329,1805.537597,1858.132956,1884.581577,1716.216385,1796.396294,
Finland,FIN,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49170.75215,53654.7503,
Fiji,FJI,3469.165917,4160.684021,4359.77535,4586.897921,5305.190923,5105.262627,5368.42324,5825.129207,6073.336388,5968.300559,4864.117047,4646.612723,
France,FRA,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293,43658.97898,
Faroe Islands,FRO,48167.4534,51786.59674,50156.85097,55560.25174,60125.77212,52726.74224,56834.06851,59328.17477,62576.98993,63383.19615,61980.29002,69010.3098,
"Micronesia, Fed. Sts.",FSM,2760.01134,2885.441249,3023.585446,2920.700863,2928.448782,2891.322103,3022.653627,3320.354976,3623.329337,3699.081514,3639.412699,3571.336769,
Gabon,GAB,8399.596703,10273.79901,9348.515572,9250.081564,9255.368597,7090.45461,6722.198393,6975.695793,7694.906045,7523.862278,6680.08267,8635.325694,
United Kingdom,GBR,39693.19387,42150.69814,42485.58607,43449.09172,47447.58893,45071.07432,41146.07736,40621.33448,43306.3083,42747.08046,40318.55757,46510.28278,
Georgia,GEO,3233.295943,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,4255.742993,5023.27438,
Ghana,GHA,1258.94923,1501.08385,1536.591848,2282.349905,1942.9051,1711.290666,1900.405937,1998.73798,2180.04157,2167.911589,2176.579459,2363.299296,
Gibraltar,GIB,,,,,,,,,,,,,
Guinea,GIN,667.2816043,644.5025446,707.9676808,757.6922692,774.569037,756.4255941,720.4732536,843.4642789,944.4172662,1043.899882,1073.659337,1189.175999,
"Gambia, The",GMB,796.630521,705.4779743,686.5582854,647.3853005,561.6491232,611.6713342,640.6766789,632.0011462,683.3243631,722.8747931,704.029916,772.1523951,
Guinea-Bissau,GNB,542.2840598,683.5345133,598.5726713,616.1599585,605.1225831,585.9570106,642.6664064,718.2457991,781.6443091,730.6114487,710.2581385,795.1185693,
Equatorial Guinea,GNQ,14905.51343,18659.41705,18756.42642,17644.59516,16804.92595,9788.983771,8035.30787,8410.39725,8719.186217,7317.390189,6327.599012,7506.667523,
Greece,GRC,26716.64883,25483.88256,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19144.28439,17658.9473,20192.5963,
Grenada,GRD,6760.961244,6775.752501,6900.771786,7205.268384,7726.409657,8379.621847,8849.513535,9309.230667,9574.279873,9887.920742,8437.566732,9010.572245,
Greenland,GRL,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50766.59942,54545.29998,53256.24409,54571.20916,,
Guatemala,GTM,2852.547327,3228.045741,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4485.731255,4647.693347,4604.576679,5025.542291,
Guam,GUM,30011.21858,30087.71559,31642.14626,32318.8909,33483.94144,34522.37793,35052.80791,35663.02504,35902.7259,37752.63308,34780.86166,35904.86355,
Guyana,GUY,4589.873241,4960.004726,5461.390967,5576.24931,5495.376197,5668.429765,5905.380196,6220.978568,6094.908859,6477.296726,6863.074346,9998.544311,
High income,HIC,38785.77844,41697.61947,41493.91585,41764.53623,42419.54493,39819.18787,40441.43896,42081.11098,44527.61041,44723.92894,43415.67668,48225.24121,
"Hong Kong SAR, China",HKG,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43733.91636,46160.42979,48537.56689,48356.0635,46107.76528,49800.54241,
Honduras,HND,1874.271704,2053.964255,2107.350831,2064.548406,2164.420219,2257.222712,2295.538079,2403.304451,2457.688921,2519.370194,2354.119614,2771.717461,
Heavily indebted poor countries (HIPC),HPC,823.6662889,898.5317902,905.2461908,979.6380194,1011.662918,953.1767609,973.2160945,1049.363575,972.3160176,978.4946479,958.4398618,1035.701648,
Croatia,HRV,14124.81084,14812.86947,13443.13523,13871.3299,13784.47836,11952.31118,12552.25538,13655.81594,15244.43105,15331.88305,14198.75396,17685.32528,
Haiti,HTI,1204.862304,1306.84613,1356.172882,1452.312144,1453.917477,1404.155214,1305.571297,1384.038372,1494.224962,1324.844005,1283.14083,1829.593044,
Hungary,HUN,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.1013,16782.95246,16120.98905,18728.12189,
IBRD only,IBD,4528.174727,5307.186466,5580.760449,5824.342974,5958.70581,5523.814033,5513.313321,6030.587878,6361.337738,6446.574604,6159.534159,7235.96127,
IDA & IBRD total,IBT,3731.598434,4310.451192,4516.541531,4711.139152,4821.935644,4471.99645,4455.815489,4838.502342,5076.592986,5125.9788,4888.966209,5684.927074,
IDA total,IDA,1235.954514,1228.529723,1264.396417,1345.370103,1420.653179,1358.217912,1361.963217,1394.859856,1415.317206,1416.388356,1374.949559,1465.396074,
IDA blend,IDB,1511.891127,1698.70039,1833.192454,1953.690169,2083.183745,1930.460187,1818.404972,1751.50761,1874.947566,1827.168474,1719.895065,1842.771049,
Indonesia,IDN,3094.44309,3613.800902,3668.21207,3602.885517,3476.624853,3322.581688,3558.818852,3839.785069,3902.661668,4151.227543,3894.272202,4332.709281,
IDA only,IDX,1097.62665,991.5875708,977.4770856,1038.681094,1086.963652,1070.69026,1134.244809,1218.493388,1187.657388,1214.402975,1206.830081,1281.63432,
Isle of Man,IMN,70622.91464,77843.49,79332.27156,83199.61956,91885.60779,84759.34595,82045.43884,83507.79761,89429.65459,87157.47146,,,
India,IND,1350.634322,1449.601789,1434.018198,1438.05748,1559.864518,1590.173918,1714.280355,1957.968841,1974.377788,2047.232704,1910.421473,2256.590409,
Not classified,INX,,,,,,,,,,,,,
Ireland,IRL,48663.60044,52183.13293,49054.69743,51546.35476,55643.05943,62053.98444,62895.91112,69970.94891,79250.38785,80927.07467,85420.19086,100172.0793,
"Iran, Islamic Rep.",IRN,6458.573936,8201.581709,8329.002044,6280.681858,5757.543337,4990.936798,5497.243227,5758.59072,3873.99534,3277.875596,2746.42045,4091.209187,
Iraq,IRQ,4430.426242,5736.898959,6437.503076,6612.902252,6215.986033,4416.943049,4305.202702,4725.193573,5601.467061,5621.181695,4332.304125,4775.377454,
Iceland,ISL,43237.07295,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74461.48,68853.71522,59200.17794,68727.63666,
Israel,ISR,31266.60532,34354.71612,33156.22832,36941.84236,38259.6811,36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,44846.7916,52170.71186,
Italy,ITA,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31911.03579,35657.49756,
Jamaica,JAM,4835.793638,5259.929487,5365.242293,5143.721312,4991.565519,5077.550622,5022.704717,5273.150744,5594.493935,5626.171177,4897.265897,5183.581305,
Jordan,JOR,3914.701234,4152.493982,4386.461816,4477.618326,4255.89431,4064.253016,4003.404749,4073.116404,4146.407296,4205.563654,4042.76935,4103.258966,
Japan,JPN,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,39918.16756,39312.66037,
Kazakhstan,KAZ,9070.488253,11634.0012,12386.69927,13890.63096,12807.26069,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9121.637138,10373.78979,
Kenya,KEN,1093.638961,1099.315094,1289.780822,1376.828869,1489.919111,1496.652856,1562.076142,1675.973916,1845.78294,1970.105143,1936.424589,2081.799855,
Kyrgyz Republic,KGZ,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,1182.5217,1276.700365,
Cambodia,KHM,782.6957324,880.3103044,950.4825446,1015.220881,1098.074538,1170.742816,1281.105964,1400.89926,1533.315985,1671.385385,1577.911747,1625.23502,
Kiribati,KIR,1438.02733,1644.344796,1698.920883,1628.710205,1546.830177,1459.133021,1506.246679,1563.550457,1605.01365,1432.178985,1430.551574,1606.462514,
St. Kitts and Nevis,KNA,16427.61241,17571.98057,17311.61878,18325.96578,19945.47017,20025.96235,21095.25404,22160.44861,22547.91799,23219.33142,18566.09559,18082.61019,
Korea,KOR,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31721.29891,34997.78164,
Kuwait,KWT,39213.53715,49006.58145,51277.66211,47760.94413,43234.82142,29310.52211,27029.99778,29263.08965,32007.52354,30667.34822,24300.32944,,
Latin America & Caribbean (excluding high income),LAC,8520.918519,9847.599209,9686.90536,9834.53013,9775.567348,8223.39455,7909.628222,8729.183063,8384.845373,8181.622747,6789.39265,7728.033309,
Lao PDR,LAO,1127.835236,1363.72529,1566.009745,1815.440236,1984.50867,2125.459057,2309.049076,2439.463355,2553.361866,2598.505523,2593.355097,2535.623432,
Lebanon,LBN,7695.245415,7914.109568,8500.180563,8255.209211,7665.379692,7802.751368,8172.299476,8679.897422,9225.845155,8985.572499,5599.957523,4136.146347,
Liberia,LBR,497.0203654,573.5264222,644.4555767,717.6357533,713.7348824,699.6629469,722.1312268,706.892692,700.0370394,665.8784476,597.5296919,675.6631858,
Libya,LBY,11611.26153,7783.831148,15764.91545,12589.44875,9408.767832,7867.571893,7944.827076,10529.26744,11838.00962,10542.14929,7568.042011,6357.19555,
